product_id,product_external_id,variation_id,variation_external_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,description,short_description,ncm,images,price,price_compare,model,gender,age_group,active,brand,category_1,category_2,category_3,gtin,mpn,stock,color,first_attribute_group,first_attribute_value,second_attribute_group,second_attribute_value,sku
9883071,BG1051,,,Boleira G - Floral Vintage,/boleira-g-floral-vintage,"0,000",0.00,0.00,0.00,,,,"Boleira G - Floral Vintage",,95059000,,72.90,,,,,1,,,,,,,3,,,,,,
 9883071,BG1051,28733134,BG1051,,,,,,,,,,"Boleira G - Floral Vintage",,,,,,,,,1,,,,,7898701612669,,3,,,,,,
9883067,BG1028,,,Boleira G - Grid P&B,/boleira-g-grid-pampb,"0,000",0.00,0.00,0.00,,,,"Boleira G - Grid P&B",,95059000,,72.90,,,,,1,,,,,,,2,,,,,,
 9883067,BG1028,28733130,BG1028,,,,,,,,,,"Boleira G - Grid P&B",,,,,,,,,1,,,,,7898701610207,,2,,,,,,
9883065,BG1014,,,Boleira G - Pessego,/boleira-g-pessego,"0,000",0.00,0.00,0.00,,,,"Boleira G - Pessego",,95059000,,72.90,,,,,1,,,,,,,0,,,,,,
 9883065,BG1014,28733128,BG1014,,,,,,,,,,"Boleira G - Pessego",,,,,,,,,1,,,,,7898701612775,,0,,,,,,
9883066,BG1015,,,Boleira G - Verde Menta,/boleira-g-verde-menta,"0,000",0.00,0.00,0.00,,,,"Boleira G - Verde Menta",,95059000,,72.90,,,,,1,,,,,,,0,,,,,,
 9883066,BG1015,28733129,BG1015,,,,,,,,,,"Boleira G - Verde Menta",,,,,,,,,1,,,,,7898701610139,,0,,,,,,
9883072,BG1059,,,Boleira G - Xadrez Aveia,/boleira-g-xadrez-aveia,"0,000",0.00,0.00,0.00,,,,"Boleira G - Xadrez Aveia",,95059000,,72.90,,,,,1,,,,,,,0,,,,,,
 9883072,BG1059,28733135,BG1059,,,,,,,,,,"Boleira G - Xadrez Aveia",,,,,,,,,1,,,,,7898701615059,,0,,,,,,
9883068,BG1034,,,Boleira G - Xadrez Vermelho,/boleira-g-xadrez-vermelho,"0,000",0.00,0.00,0.00,,,,"Boleira G - Xadrez Vermelho",,95059000,,72.90,,,,,1,,,,,,,1,,,,,,
 9883068,BG1034,28733131,BG1034,,,,,,,,,,"Boleira G - Xadrez Vermelho",,,,,,,,,1,,,,,7898701611105,,1,,,,,,
9883075,BM1042,,,Boleira M - Acqua,/boleira-m-acqua,"0,000",0.00,0.00,0.00,,,,"Boleira M - Acqua",,95059000,,69.90,,,,,1,,,,,,,0,,,,,,
 9883075,BM1042,28733138,BM1042,,,,,,,,,,"Boleira M - Acqua",,,,,,,,,1,,,,,7898701612782,,0,,,,,,
9883073,BM1002,,,Boleira M - Branco,/boleira-m-branco,"0,000",0.00,0.00,0.00,,,,"Boleira M - Branco",,95059000,,69.90,,,,,1,,,,,,,1,,,,,,
 9883073,BM1002,28733136,BM1002,,,,,,,,,,"Boleira M - Branco",,,,,,,,,1,,,,,7898701610269,,1,,,,,,
9883076,BM1050,,,Boleira M - Confete,/boleira-m-confete,"0,000",0.00,0.00,0.00,,,,"Boleira M - Confete",,95059000,,69.90,,,,,1,,,,,,,3,,,,,,
 9883076,BM1050,28733139,BM1050,,,,,,,,,,"Boleira M - Confete",,,,,,,,,1,,,,,7898701612706,,3,,,,,,
9883077,BM1051,,,Boleira M - Floral Vintage,/boleira-m-floral-vintage,"0,000",0.00,0.00,0.00,,,,"Boleira M - Floral Vintage",,95059000,,69.90,,,,,1,,,,,,,0,,,,,,
 9883077,BM1051,28733140,BM1051,,,,,,,,,,"Boleira M - Floral Vintage",,,,,,,,,1,,,,,7898701612676,,0,,,,,,
