product_id,product_external_id,variation_id,variation_external_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,description,short_description,ncm,images,price,price_compare,model,gender,age_group,active,brand,category_1,category_2,category_3,gtin,mpn,stock,color,first_attribute_group,first_attribute_value,second_attribute_group,second_attribute_value,sku
9883074,BM1025,,,Boleira M - Furtacor,/boleira-m-furtacor,"0,000",0.00,0.00,0.00,,,,"Boleira M - Furtacor",,95059000,,69.90,,,,,1,,,,,,,1,,,,,,
 9883074,BM1025,28733137,BM1025,,,,,,,,,,"Boleira M - Furtacor",,,,,,,,,1,,,,,7898701610412,,1,,,,,,
9883006,240220472345819,,,Boleira m - Grid Pampb,/boleira-m-grid-pampb,"0,000",0.00,0.00,0.00,,,,"BOLEIRA M - GRID PAMPB",,95059000,,69.90,,,,,1,,,,,,,-1,,,,,,
 9883006,240220472345819,28733038,240220472345819,,,,,,,,,,"BOLEIRA M - GRID PAMPB",,,,,,,,,1,,,,,7898701610467,,-1,,,,,,
9883467,PRD00816,,,Cachepo g Kraft,/cachepo-g-kraft,"0,000",0.00,0.00,0.00,,,,"CACHEPO G KRAFT",,95059000,,0.92,,,,,1,,,,,,,50,,,,,,
 9883467,PRD00816,28733530,PRD00816,,,,,,,,,,"CACHEPO G KRAFT",,,,,,,,,1,,,,,,,50,,,,,,
9883027,000038,,,"Caixa 1 Cupcake Tampa Acetato 8,5X8,5X8,5 8,5X8,5X8,5 Kraft",/caixa-1-cupcake-tampa-acetato-85x85x85-85x85x85-kraft,"0,000",0.00,0.00,0.00,,,,"CAIXA 1 CUPCAKE TAMPA ACETATO 8,5X8,5X8,5 8,5X8,5X8,5 KRAFT",,95059000,,1.81,,,,,1,,,,,,,0,,,,,,
 9883027,000038,28733090,000038,,,,,,,,,,"CAIXA 1 CUPCAKE TAMPA ACETATO 8,5X8,5X8,5 8,5X8,5X8,5 KRAFT",,,,,,,,,1,,,,,7982505233448,,0,,,,,,
9882910,240220470777167,,,Caixa 1 Meio OVO 100 GRS + 6 Doces Kraft,/caixa-1-meio-ovo-100-grs-6-doces-kraft,"0,000",0.00,0.00,0.00,,,,"CAIXA 1 MEIO OVO 100 GRS + 6 DOCES KRAFT",,95059000,,2.24,,,,,1,,,,,,,0,,,,,,
 9882910,240220470777167,28732942,240220470777167,,,,,,,,,,"CAIXA 1 MEIO OVO 100 GRS + 6 DOCES KRAFT",,,,,,,,,1,,,,,0192505152596,,0,,,,,,
9883047,000777,,,"Caixa 1 Meio OVO 250 GRS 16,5X14,4X9 Kraft MOD2",/caixa-1-meio-ovo-250-grs-165x144x9-kraft-mod2,"0,000",0.00,0.00,0.00,,,,"CAIXA 1 MEIO OVO 250 GRS 16,5X14,4X9 KRAFT MOD2",,95059000,,1.98,,,,,1,,,,,,,0,,,,,,
 9883047,000777,28733110,000777,,,,,,,,,,"CAIXA 1 MEIO OVO 250 GRS 16,5X14,4X9 KRAFT MOD2",,,,,,,,,1,,,,,7982505234407,,0,,,,,,
9883056,001794,,,"Caixa 1 Meio OVO Visor 50 GRS 13X9X5,5 Kraft",/caixa-1-meio-ovo-visor-50-grs-13x9x55-kraft,"0,000",0.00,0.00,0.00,,,,"CAIXA 1 MEIO OVO VISOR 50 GRS 13X9X5,5 KRAFT",,95059000,,1.24,,,,,1,,,,,,,0,,,,,,
 9883056,001794,28733119,001794,,,,,,,,,,"CAIXA 1 MEIO OVO VISOR 50 GRS 13X9X5,5 KRAFT",,,,,,,,,1,,,,,0192505152855,,0,,,,,,
9883035,000199,,,"Caixa 12 Divisoes 16X12X3,5 Kraft",/caixa-12-divisoes-16x12x35-kraft,"0,000",0.00,0.00,0.00,,,,"CAIXA 12 DIVISOES 16X12X3,5 KRAFT",,95059000,,2.22,,,,,1,,,,,,,0,,,,,,
 9883035,000199,28733098,000199,,,,,,,,,,"CAIXA 12 DIVISOES 16X12X3,5 KRAFT",,,,,,,,,1,,,,,7982505233738,,0,,,,,,
