product_id,product_external_id,variation_id,variation_external_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,description,short_description,ncm,images,price,price_compare,model,gender,age_group,active,brand,category_1,category_2,category_3,gtin,mpn,stock,color,first_attribute_group,first_attribute_value,second_attribute_group,second_attribute_value,sku
9883111,DVM01,,,Vela Mickey - Numero 1,/vela-mickey-numero-1,"0,000",0.00,0.00,0.00,,,,"VELA MICKEY NUMERO - 1",,95059000,,18.90,,,,,0,,,,,,,10,,,,,,
 9883111,DVM01,28733174,DVM01,,,,,,,,,,"VELA MICKEY NUMERO - 1",,,,,,,,,0,,,,,7591543131120,,10,,,,,,
9883112,DVM02,,,Vela Mickey - Numero 2,/vela-mickey-numero-2,"0,000",0.00,0.00,0.00,,,,"VELA MICKEY NUMERO - 2",,95059000,,18.90,,,,,0,,,,,,,11,,,,,,
 9883112,DVM02,28733175,DVM02,,,,,,,,,,"VELA MICKEY NUMERO - 2",,,,,,,,,0,,,,,7591543131137,,11,,,,,,
9883113,DVM03,,,Vela Mickey - Numero 3,/vela-mickey-numero-3,"0,000",0.00,0.00,0.00,,,,"VELA MICKEY NUMERO - 3",,95059000,,18.90,,,,,0,,,,,,,10,,,,,,
 9883113,DVM03,28733176,DVM03,,,,,,,,,,"VELA MICKEY NUMERO - 3",,,,,,,,,0,,,,,7591543131144,,10,,,,,,
9883433,VDZ00,,,Vela Mini Azul Tiffany - Numero 0,/vela-mini-azul-tiffany-numero-0,"0,000",0.00,0.00,0.00,,,,"VELA MINI AZUL TIFFANY NUMERO - 0",,95059000,,2.44,,,,,0,,,,,,,3,,,,,,
 9883433,VDZ00,28733496,VDZ00,,,,,,,,,,"VELA MINI AZUL TIFFANY NUMERO - 0",,,,,,,,,0,,,,,7908167303046,,3,,,,,,
9883413,VDS00,,,Vela Mini Design Amarela Candy Color - Numero 0,/vela-mini-design-amarela-candy-color-numero-0,"0,000",0.00,0.00,0.00,,,,"VELA MINI DESIGN AMARELA CANDY COLOR NUMERO - 0",,95059000,,7.90,,,,,0,,,,,,,9,,,,,,
 9883413,VDS00,28733476,VDS00,,,,,,,,,,"VELA MINI DESIGN AMARELA CANDY COLOR NUMERO - 0",,,,,,,,,0,,,,,7908167302605,,9,,,,,,
9883414,VDS01,,,Vela Mini Design Amarela Candy Color - Numero 1,/vela-mini-design-amarela-candy-color-numero-1,"0,000",0.00,0.00,0.00,,,,"VELA MINI DESIGN AMARELA CANDY COLOR NUMERO - 1",,95059000,,7.90,,,,,0,,,,,,,7,,,,,,
 9883414,VDS01,28733477,VDS01,,,,,,,,,,"VELA MINI DESIGN AMARELA CANDY COLOR NUMERO - 1",,,,,,,,,0,,,,,7908167302612,,7,,,,,,
9883415,VDS02,,,Vela Mini Design Amarela Candy Color - Numero 2,/vela-mini-design-amarela-candy-color-numero-2,"0,000",0.00,0.00,0.00,,,,"VELA MINI DESIGN AMARELA CANDY COLOR NUMERO - 2",,95059000,,7.90,,,,,0,,,,,,,12,,,,,,
 9883415,VDS02,28733478,VDS02,,,,,,,,,,"VELA MINI DESIGN AMARELA CANDY COLOR NUMERO - 2",,,,,,,,,0,,,,,7908167302629,,12,,,,,,
9883416,VDS03,,,Vela Mini Design Amarela Candy Color - Numero 3,/vela-mini-design-amarela-candy-color-numero-3,"0,000",0.00,0.00,0.00,,,,"VELA MINI DESIGN AMARELA CANDY COLOR NUMERO - 3",,95059000,,7.90,,,,,0,,,,,,,8,,,,,,
 9883416,VDS03,28733479,VDS03,,,,,,,,,,"VELA MINI DESIGN AMARELA CANDY COLOR NUMERO - 3",,,,,,,,,0,,,,,7908167302636,,8,,,,,,
9883417,VDS04,,,Vela Mini Design Amarela Candy Color - Numero 4,/vela-mini-design-amarela-candy-color-numero-4,"0,000",0.00,0.00,0.00,,,,"VELA MINI DESIGN AMARELA CANDY COLOR NUMERO - 4",,95059000,,7.90,,,,,0,,,,,,,7,,,,,,
 9883417,VDS04,28733480,VDS04,,,,,,,,,,"VELA MINI DESIGN AMARELA CANDY COLOR NUMERO - 4",,,,,,,,,0,,,,,7908167302643,,7,,,,,,
9883418,VDS05,,,Vela Mini Design Amarela Candy Color - Numero 5,/vela-mini-design-amarela-candy-color-numero-5,"0,000",0.00,0.00,0.00,,,,"VELA MINI DESIGN AMARELA CANDY COLOR NUMERO - 5",,95059000,,7.90,,,,,0,,,,,,,2,,,,,,
 9883418,VDS05,28733481,VDS05,,,,,,,,,,"VELA MINI DESIGN AMARELA CANDY COLOR NUMERO - 5",,,,,,,,,0,,,,,7908167302650,,2,,,,,,
