product_id,product_external_id,variation_id,variation_external_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,description,short_description,ncm,images,price,price_compare,model,gender,age_group,active,brand,category_1,category_2,category_3,gtin,mpn,stock,color,first_attribute_group,first_attribute_value,second_attribute_group,second_attribute_value,sku
9883111,DVM01,,,Vela Mickey - Número 1,/vela-mickey-numero-1,"0,000",0.00,0.00,0.00,Vela Mickey - Número 1 | Festa Temática,Vela Mickey - Número 1 para bolo. Visual temático marcante e fácil de usar. Destaque perfeito para aniversários e festas.,,"<p><strong>✨ Descrição completa — Vela Mickey - Número 1</strong></p><p>A <strong>Vela Mickey - Número 1</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com visual moderno e acabamento caprichado, valoriza a decoração da mesa e fica linda nas fotos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários infantis e adultos</li><li>Festas temáticas</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Fácil de usar</li><li>Ótimo destaque no bolo</li><li>Valoriza a decoração da mesa</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Tipo: vela decorativa para bolo</li><li>Conteúdo da embalagem: 1 vela (Número 1)</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com outros artigos de festa do mesmo tema para montar uma decoração completa e harmoniosa.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Mickey - Número 1</strong> e deixe sua comemoração ainda mais especial!</p>",Vela temática para bolo com visual marcante. Vela Mickey - Número 1. Ideal para festas temáticas e aniversários.,95059000,,18.90,,,,,0,,,,,,,10,,,,,,
 9883111,DVM01,28733174,DVM01,,,,,,,,,,"VELA MICKEY NUMERO - 1",,,,,,,,,0,,,,,7591543131120,,10,,,,,,
9883112,DVM02,,,Vela Mickey - Número 2,/vela-mickey-numero-2,"0,000",0.00,0.00,0.00,Vela Mickey - Número 2 | Festa Temática,Vela Mickey - Número 2 para bolo. Visual temático marcante e fácil de usar. Destaque perfeito para aniversários e festas.,,"<p><strong>✨ Descrição completa — Vela Mickey - Número 2</strong></p><p>A <strong>Vela Mickey - Número 2</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com visual moderno e acabamento caprichado, valoriza a decoração da mesa e fica linda nas fotos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários infantis e adultos</li><li>Festas temáticas</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Fácil de usar</li><li>Ótimo destaque no bolo</li><li>Valoriza a decoração da mesa</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Tipo: vela decorativa para bolo</li><li>Conteúdo da embalagem: 1 vela (Número 2)</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com outros artigos de festa do mesmo tema para montar uma decoração completa e harmoniosa.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Mickey - Número 2</strong> e deixe sua comemoração ainda mais especial!</p>",Vela temática para bolo com visual marcante. Vela Mickey - Número 2. Ideal para festas temáticas e aniversários.,95059000,,18.90,,,,,0,,,,,,,11,,,,,,
 9883112,DVM02,28733175,DVM02,,,,,,,,,,"VELA MICKEY NUMERO - 2",,,,,,,,,0,,,,,7591543131137,,11,,,,,,
9883113,DVM03,,,Vela Mickey - Número 3,/vela-mickey-numero-3,"0,000",0.00,0.00,0.00,Vela Mickey - Número 3 | Festa Temática,Vela Mickey - Número 3 para bolo. Visual temático marcante e fácil de usar. Destaque perfeito para aniversários e festas.,,"<p><strong>✨ Descrição completa — Vela Mickey - Número 3</strong></p><p>A <strong>Vela Mickey - Número 3</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com visual moderno e acabamento caprichado, valoriza a decoração da mesa e fica linda nas fotos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários infantis e adultos</li><li>Festas temáticas</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Fácil de usar</li><li>Ótimo destaque no bolo</li><li>Valoriza a decoração da mesa</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Tipo: vela decorativa para bolo</li><li>Conteúdo da embalagem: 1 vela (Número 3)</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com outros artigos de festa do mesmo tema para montar uma decoração completa e harmoniosa.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Mickey - Número 3</strong> e deixe sua comemoração ainda mais especial!</p>",Vela temática para bolo com visual marcante. Vela Mickey - Número 3. Ideal para festas temáticas e aniversários.,95059000,,18.90,,,,,0,,,,,,,10,,,,,,
 9883113,DVM03,28733176,DVM03,,,,,,,,,,"VELA MICKEY NUMERO - 3",,,,,,,,,0,,,,,7591543131144,,10,,,,,,
9883433,VDZ00,,,Vela Mini Design - Número 0,/vela-mini-azul-tiffany-numero-0,"0,000",0.00,0.00,0.00,Vela Mini Design - Número 0 | Decoração para Festa,Vela Mini Design - Número 0 para bolo. Visual moderno e tamanho compacto. Perfeita para destacar a decoração do bolo.,,"<p><strong>✨ Descrição completa — Vela Mini Design - Número 0</strong></p><p>A <strong>Vela Mini Design - Número 0</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com visual moderno e acabamento caprichado, valoriza a decoração da mesa e fica linda nas fotos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários infantis e adultos</li><li>Festas temáticas</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Fácil de usar</li><li>Ótimo destaque no bolo</li><li>Valoriza a decoração da mesa</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Tipo: vela decorativa para bolo</li><li>Conteúdo da embalagem: 1 vela (Número 0)</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com outros artigos de festa do mesmo tema para montar uma decoração completa e harmoniosa.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Mini Design - Número 0</strong> e deixe sua comemoração ainda mais especial!</p>",Vela Mini Design para bolo com visual moderno. Número 0. Ideal para aniversários e festas temáticas.,95059000,,2.44,,,,,0,,,,,,,3,,,,,,
 9883433,VDZ00,28733496,VDZ00,,,,,,,,,,"VELA MINI AZUL TIFFANY NUMERO - 0",,,,,,,,,0,,,,,7908167303046,,3,,,,,,
9883413,VDS00,,,Vela Mini Design - Número 0,/vela-mini-design-amarela-candy-color-numero-0,"0,000",0.00,0.00,0.00,Vela Mini Design - Número 0 | Decoração para Festa,Vela Mini Design - Número 0 para bolo. Visual moderno e tamanho compacto. Perfeita para destacar a decoração do bolo.,,"<p><strong>✨ Descrição completa — Vela Mini Design - Número 0</strong></p><p>A <strong>Vela Mini Design - Número 0</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com visual moderno e acabamento caprichado, valoriza a decoração da mesa e fica linda nas fotos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários infantis e adultos</li><li>Festas temáticas</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Fácil de usar</li><li>Ótimo destaque no bolo</li><li>Valoriza a decoração da mesa</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Tipo: vela decorativa para bolo</li><li>Conteúdo da embalagem: 1 vela (Número 0)</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com outros artigos de festa do mesmo tema para montar uma decoração completa e harmoniosa.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Mini Design - Número 0</strong> e deixe sua comemoração ainda mais especial!</p>",Vela Mini Design para bolo com visual moderno. Número 0. Ideal para aniversários e festas temáticas.,95059000,,7.90,,,,,0,,,,,,,9,,,,,,
 9883413,VDS00,28733476,VDS00,,,,,,,,,,"VELA MINI DESIGN AMARELA CANDY COLOR NUMERO - 0",,,,,,,,,0,,,,,7908167302605,,9,,,,,,
