product_id,product_external_id,variation_id,variation_external_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,description,short_description,ncm,images,price,price_compare,model,gender,age_group,active,brand,category_1,category_2,category_3,gtin,mpn,stock,color,first_attribute_group,first_attribute_value,second_attribute_group,second_attribute_value,sku
9883079,BQ1028,,,Bandeja Quadrada - Grid P&B,/bandeja-quadrada-grid-pampb,"0,000",0.00,0.00,0.00,,,,"Bandeja Quadrada - Grid P&B",,95059000,,48.00,,,,,1,,,,,,,2,,,,,,
 9883079,BQ1028,28733142,BQ1028,,,,,,,,,,"Bandeja Quadrada - Grid P&B",,,,,,,,,1,,,,,7898701611457,,2,,,,,,
9883082,BQ1058,,,Bandeja Quadrada - Xadrez Rosa,/bandeja-quadrada-xadrez-rosa,"0,000",0.00,0.00,0.00,,,,"Bandeja Quadrada - Xadrez Rosa",,95059000,,48.00,,,,,1,,,,,,,3,,,,,,
 9883082,BQ1058,28733145,BQ1058,,,,,,,,,,"Bandeja Quadrada - Xadrez Rosa",,,,,,,,,1,,,,,7898701615042,,3,,,,,,
9882996,240220472158277,,,Bandeja Quadrada - Xadrez Vermelho,/bandeja-quadrada-xadrez-vermelho,"0,000",0.00,0.00,0.00,,,,"BANDEJA QUADRADA - XADREZ VERMELHO",,95059000,,48.00,,,,,1,,,,,,,-5,,,,,,
 9882996,240220472158277,28733028,240220472158277,,,,,,,,,,"BANDEJA QUADRADA - XADREZ VERMELHO",,,,,,,,,1,,,,,7898701611433,,-5,,,,,,
9883373,F002,,,Bastao de LED Foam 40 cm,/bastao-de-led-foam-40-cm,"0,000",0.00,0.00,0.00,,,,"BASTAO DE LED FOAM 40 CM",,95059000,,3.26,,,,,1,,,,,,,36,,,,,,
 9883373,F002,28733436,F002,,,,,,,,,,"BASTAO DE LED FOAM 40 CM",,,,,,,,,1,,,,,7591543068952,,36,,,,,,
9883464,PRD00795,,,BEM CASADO VALISE ACETATO 10un,/bem-casado-valise-acetato-10un,"0,000",0.00,0.00,0.00,,,,"BEM CASADO VALISE ACETATO 10un",,95059000,,6.50,,,,,1,,,,,,,5,,,,,,
 9883464,PRD00795,28733527,PRD00795,,,,,,,,,,"BEM CASADO VALISE ACETATO 10un",,,,,,,,,1,,,,,,,5,,,,,,
9883465,PRD00818,,,BEM Casado Valise C/ 10 Kraft,/bem-casado-valise-c-10-kraft,"0,000",0.00,0.00,0.00,,,,"BEM CASADO VALISE C/ 10 KRAFT",,95059000,,3.32,,,,,1,,,,,,,3,,,,,,
 9883465,PRD00818,28733528,PRD00818,,,,,,,,,,"BEM CASADO VALISE C/ 10 KRAFT",,,,,,,,,1,,,,,,,3,,,,,,
9883063,BD1043,,,Boleira Daisy - Baunilha,/boleira-daisy-baunilha,"0,000",0.00,0.00,0.00,,,,"Boleira Daisy - Baunilha",,95059000,,72.90,,,,,1,,,,,,,0,,,,,,
 9883063,BD1043,28733126,BD1043,,,,,,,,,,"Boleira Daisy - Baunilha",,,,,,,,,1,,,,,7898701615370,,0,,,,,,
9883069,BG1043,,,Boleira G - Baunilha,/boleira-g-baunilha,"0,000",0.00,0.00,0.00,,,,"Boleira G - Baunilha",,95059000,,72.90,,,,,1,,,,,,,0,,,,,,
 9883069,BG1043,28733132,BG1043,,,,,,,,,,"Boleira G - Baunilha",,,,,,,,,1,,,,,7898701612768,,0,,,,,,
9883064,BG1002,,,Boleira G - Branco,/boleira-g-branco,"0,000",0.00,0.00,0.00,,,,"Boleira G - Branco",,95059000,,72.90,,,,,1,,,,,,,1,,,,,,
 9883064,BG1002,28733127,BG1002,,,,,,,,,,"Boleira G - Branco",,,,,,,,,1,,,,,7898701610009,,1,,,,,,
9883070,BG1050,,,Boleira G - Confete,/boleira-g-confete,"0,000",0.00,0.00,0.00,,,,"Boleira G - Confete",,95059000,,72.90,,,,,1,,,,,,,3,,,,,,
 9883070,BG1050,28733133,BG1050,,,,,,,,,,"Boleira G - Confete",,,,,,,,,1,,,,,7898701612690,,3,,,,,,
