product_id,product_external_id,variation_id,variation_external_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,description,short_description,ncm,images,price,price_compare,model,gender,age_group,active,brand,category_1,category_2,category_3,gtin,mpn,stock,color,first_attribute_group,first_attribute_value,second_attribute_group,second_attribute_value,sku
9883242,PRD00435,,,7897119502241,/7897119502241,"0,000",0.00,0.00,0.00,,,,"7897119502241",,95059000,,0.00,,,,,1,,,,,,,1,,,,,,
 9883242,PRD00435,28733305,PRD00435,,,,,,,,,,"7897119502241",,,,,,,,,1,,,,,7897119502241,,1,,,,,,
9883003,240220472264644,,,Prato 15 Raso Rose Gold - REC,/7898678714038,"0,000",0.00,0.00,0.00,,,,"PRATO 15 RASO ROSE GOLD - REC",,95059000,,4.50,,,,,1,,,,,,,15,,,,,,
 9883003,240220472264644,28733035,240220472264644,,,,,,,,,,"PRATO 15 RASO ROSE GOLD - REC",,,,,,,,,1,,,,,7898678713833,,15,,,,,,
9883243,PRD00436,,,7908463009161,/7908463009161,"0,000",0.00,0.00,0.00,,,,"7908463009161",,95059000,,4.90,,,,,1,,,,,,,89,,,,,,
 9883243,PRD00436,28733306,PRD00436,,,,,,,,,,"7908463009161",,,,,,,,,1,,,,,7908463009161,,89,,,,,,
9883236,PFVHP-12,,,7908463009178,/7908463009178,"0,000",0.00,0.00,0.00,,,,"7908463009178",,95059000,,4.90,,,,,1,,,,,,,47,,,,,,
 9883236,PFVHP-12,28733299,PFVHP-12,,,,,,,,,,"7908463009178",,,,,,,,,1,,,,,7908463009178,,47,,,,,,
9883244,PRD00437,,,7908463009291,/7908463009291,"0,000",0.00,0.00,0.00,,,,"7908463009291",,95059000,,4.50,,,,,1,,,,,,,-1,,,,,,
 9883244,PRD00437,28733307,PRD00437,,,,,,,,,,"7908463009291",,,,,,,,,1,,,,,7908463009291,,-1,,,,,,
9883245,PRD00438,,,7908463009680,/7908463009680,"0,000",0.00,0.00,0.00,,,,"7908463009680",,95059000,,6.90,,,,,1,,,,,,,16,,,,,,
 9883245,PRD00438,28733308,PRD00438,,,,,,,,,,"7908463009680",,,,,,,,,1,,,,,7908463009680,,16,,,,,,
9882907,240220470746605,,,Bandeja de Madeira 20 cm x 13 cm,/bandeja-de-madeira-20-cm-x-13-cm,"0,000",0.00,0.00,0.00,,,,"BANDEJA DE MADEIRA 20 CM X 13 CM",,95059000,,18.90,,,,,1,,,,,,,0,,,,,,
 9882907,240220470746605,28732939,240220470746605,,,,,,,,,,"BANDEJA DE MADEIRA 20 CM X 13 CM",,,,,,,,,1,,,,,7591543105732,,0,,,,,,
9840811,,,,Bandeja Prato Retangular - Descartável - 5 Unidades,/bandeja-prato-retangular-descartavel-5-unidades,"0,200",18.00,14.00,14.00,,,,"- Para decorar e festejar, encontre aqui os produtos que você precisa. Possuímos uma grande diversidade de balões, suportes e decoração, com cores, tamanhos e formatos variados.<p></p>Detalhes do Produto<p></p>- Cor: Furta Cor- Quantidade: 5 unidades- Material: Papel Metalizado<p></p>Tamanho do Produto<p></p>- Comprimento: 26,5cm- Largura: 18,5cm",,,"media://products/whatsapp-image-2026-01-05-at-131818-4.jpeg",18.90,,,,,1,,,,,,,10,,,,,,
 9840811,,28613440,,,,,,,,,,,"- Para decorar e festejar, encontre aqui os produtos que você precisa. Possuímos uma grande diversidade de balões, suportes e decoração, com cores, tamanhos e formatos variados.<p></p>Detalhes do Produto<p></p>- Cor: Furta Cor- Quantidade: 5 unidades- Material: Papel Metalizado<p></p>Tamanho do Produto<p></p>- Comprimento: 26,5cm- Largura: 18,5cm",,,"media://products/whatsapp-image-2026-01-05-at-131818-4.jpeg",,,,,,1,,,,,,,10,,,,,,
9883080,BQ1050,,,Bandeja Quadrada - Confete,/bandeja-quadrada-confete,"0,000",0.00,0.00,0.00,,,,"Bandeja Quadrada - Confete",,95059000,,48.00,,,,,1,,,,,,,1,,,,,,
 9883080,BQ1050,28733143,BQ1050,,,,,,,,,,"Bandeja Quadrada - Confete",,,,,,,,,1,,,,,7898701612645,,1,,,,,,
9883081,BQ1051,,,Bandeja Quadrada - Floral Vintage,/bandeja-quadrada-floral-vintage,"0,000",0.00,0.00,0.00,,,,"Bandeja Quadrada - Floral Vintage",,95059000,,48.00,,,,,1,,,,,,,2,,,,,,
 9883081,BQ1051,28733144,BQ1051,,,,,,,,,,"Bandeja Quadrada - Floral Vintage",,,,,,,,,1,,,,,7898701612638,,2,,,,,,
