product_id,product_external_id,variation_id,variation_external_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,description,short_description,ncm,images,price,price_compare,model,gender,age_group,active,brand,category_1,category_2,category_3,gtin,mpn,stock,color,first_attribute_group,first_attribute_value,second_attribute_group,second_attribute_value,sku
9883242,PRD00435,,,7897119502241,/7897119502241,"0,000",0.00,0.00,0.00,,,,"7897119502241",,95059000,,0.00,,,,,0,,,,,,,1,,,,,,
 9883242,PRD00435,28733305,PRD00435,,,,,,,,,,"7897119502241",,,,,,,,,0,,,,,7897119502241,,1,,,,,,
9883003,240220472264644,,,Prato 15 Raso Rose Gold - REC,/7898678714038,"0,000",0.00,0.00,0.00,,,,"PRATO 15 RASO ROSE GOLD - REC",,95059000,,4.50,,,,,0,,,,,,,15,,,,,,
 9883003,240220472264644,28733035,240220472264644,,,,,,,,,,"PRATO 15 RASO ROSE GOLD - REC",,,,,,,,,0,,,,,7898678713833,,15,,,,,,
9883243,PRD00436,,,7908463009161,/7908463009161,"0,000",0.00,0.00,0.00,,,,"7908463009161",,95059000,,4.90,,,,,0,,,,,,,89,,,,,,
 9883243,PRD00436,28733306,PRD00436,,,,,,,,,,"7908463009161",,,,,,,,,0,,,,,7908463009161,,89,,,,,,
9883236,PFVHP-12,,,7908463009178,/7908463009178,"0,000",0.00,0.00,0.00,,,,"7908463009178",,95059000,,4.90,,,,,0,,,,,,,47,,,,,,
 9883236,PFVHP-12,28733299,PFVHP-12,,,,,,,,,,"7908463009178",,,,,,,,,0,,,,,7908463009178,,47,,,,,,
9883244,PRD00437,,,7908463009291,/7908463009291,"0,000",0.00,0.00,0.00,,,,"7908463009291",,95059000,,4.50,,,,,0,,,,,,,-1,,,,,,
 9883244,PRD00437,28733307,PRD00437,,,,,,,,,,"7908463009291",,,,,,,,,0,,,,,7908463009291,,-1,,,,,,
9883245,PRD00438,,,7908463009680,/7908463009680,"0,000",0.00,0.00,0.00,,,,"7908463009680",,95059000,,6.90,,,,,0,,,,,,,16,,,,,,
 9883245,PRD00438,28733308,PRD00438,,,,,,,,,,"7908463009680",,,,,,,,,0,,,,,7908463009680,,16,,,,,,
9882907,240220470746605,,,Bandeja de Madeira 20 cm x 13 cm,/bandeja-de-madeira-20-cm-x-13-cm,"0,000",0.00,0.00,0.00,,,,"BANDEJA DE MADEIRA 20 CM X 13 CM",,95059000,,18.90,,,,,0,,,,,,,0,,,,,,
 9882907,240220470746605,28732939,240220470746605,,,,,,,,,,"BANDEJA DE MADEIRA 20 CM X 13 CM",,,,,,,,,0,,,,,7591543105732,,0,,,,,,
9840811,,,,Bandeja Prato Retangular - Descartável - 5 Unidades,/bandeja-prato-retangular-descartavel-5-unidades,"0,200",18.00,14.00,14.00,,,,"- Para decorar e festejar, encontre aqui os produtos que você precisa. Possuímos uma grande diversidade de balões, suportes e decoração, com cores, tamanhos e formatos variados.<p></p>Detalhes do Produto<p></p>- Cor: Furta Cor- Quantidade: 5 unidades- Material: Papel Metalizado<p></p>Tamanho do Produto<p></p>- Comprimento: 26,5cm- Largura: 18,5cm",,,"media://products/whatsapp-image-2026-01-05-at-131818-4.jpeg",18.90,,,,,1,,,,,,,10,,,,,,
 9840811,,28613440,,,,,,,,,,,"- Para decorar e festejar, encontre aqui os produtos que você precisa. Possuímos uma grande diversidade de balões, suportes e decoração, com cores, tamanhos e formatos variados.<p></p>Detalhes do Produto<p></p>- Cor: Furta Cor- Quantidade: 5 unidades- Material: Papel Metalizado<p></p>Tamanho do Produto<p></p>- Comprimento: 26,5cm- Largura: 18,5cm",,,"media://products/whatsapp-image-2026-01-05-at-131818-4.jpeg",,,,,,1,,,,,,,10,,,,,,
9883080,BQ1050,,,Bandeja Quadrada - Confete,/bandeja-quadrada-confete,"0,000",0.00,0.00,0.00,,,,"Bandeja Quadrada - Confete",,95059000,,48.00,,,,,0,,,,,,,1,,,,,,
 9883080,BQ1050,28733143,BQ1050,,,,,,,,,,"Bandeja Quadrada - Confete",,,,,,,,,0,,,,,7898701612645,,1,,,,,,
9883081,BQ1051,,,Bandeja Quadrada - Floral Vintage,/bandeja-quadrada-floral-vintage,"0,000",0.00,0.00,0.00,,,,"Bandeja Quadrada - Floral Vintage",,95059000,,48.00,,,,,0,,,,,,,2,,,,,,
 9883081,BQ1051,28733144,BQ1051,,,,,,,,,,"Bandeja Quadrada - Floral Vintage",,,,,,,,,0,,,,,7898701612638,,2,,,,,,
9883078,BQ1025,,,Bandeja Quadrada - Furtacor,/bandeja-quadrada-furtacor,"0,000",0.00,0.00,0.00,,,,"Bandeja Quadrada - Furtacor",,95059000,,48.00,,,,,0,,,,,,,1,,,,,,
 9883078,BQ1025,28733141,BQ1025,,,,,,,,,,"Bandeja Quadrada - Furtacor",,,,,,,,,0,,,,,7898701610924,,1,,,,,,
9883079,BQ1028,,,Bandeja Quadrada - Grid P&amp;B,/bandeja-quadrada-grid-pampb,"0,000",0.00,0.00,0.00,,,,"Bandeja Quadrada - Grid P&B",,95059000,,48.00,,,,,0,,,,,,,2,,,,,,
 9883079,BQ1028,28733142,BQ1028,,,,,,,,,,"Bandeja Quadrada - Grid P&B",,,,,,,,,0,,,,,7898701611457,,2,,,,,,
9883082,BQ1058,,,Bandeja Quadrada - Xadrez Rosa,/bandeja-quadrada-xadrez-rosa,"0,000",0.00,0.00,0.00,,,,"Bandeja Quadrada - Xadrez Rosa",,95059000,,48.00,,,,,0,,,,,,,3,,,,,,
 9883082,BQ1058,28733145,BQ1058,,,,,,,,,,"Bandeja Quadrada - Xadrez Rosa",,,,,,,,,0,,,,,7898701615042,,3,,,,,,
9882996,240220472158277,,,BANDEJA QUADRADA - XADREZ VERMELHO,/bandeja-quadrada-xadrez-vermelho,"0,000",0.00,0.00,0.00,,,,"BANDEJA QUADRADA - XADREZ VERMELHO",,95059000,,48.00,,,,,0,,,,,,,-5,,,,,,
 9882996,240220472158277,28733028,240220472158277,,,,,,,,,,"BANDEJA QUADRADA - XADREZ VERMELHO",,,,,,,,,0,,,,,7898701611433,,-5,,,,,,
9883373,F002,,,BASTAO DE LED FOAM 40 CM,/bastao-de-led-foam-40-cm,"0,000",0.00,0.00,0.00,,,,"BASTAO DE LED FOAM 40 CM",,95059000,,3.26,,,,,0,,,,,,,36,,,,,,
 9883373,F002,28733436,F002,,,,,,,,,,"BASTAO DE LED FOAM 40 CM",,,,,,,,,0,,,,,7591543068952,,36,,,,,,
9883464,PRD00795,,,BEM CASADO VALISE ACETATO 10un,/bem-casado-valise-acetato-10un,"0,000",0.00,0.00,0.00,,,,"BEM CASADO VALISE ACETATO 10un",,95059000,,6.50,,,,,0,,,,,,,5,,,,,,
 9883464,PRD00795,28733527,PRD00795,,,,,,,,,,"BEM CASADO VALISE ACETATO 10un",,,,,,,,,0,,,,,,,5,,,,,,
9883465,PRD00818,,,BEM CASADO VALISE C/ 10 KRAFT,/bem-casado-valise-c-10-kraft,"0,000",0.00,0.00,0.00,,,,"BEM CASADO VALISE C/ 10 KRAFT",,95059000,,3.32,,,,,0,,,,,,,3,,,,,,
 9883465,PRD00818,28733528,PRD00818,,,,,,,,,,"BEM CASADO VALISE C/ 10 KRAFT",,,,,,,,,0,,,,,,,3,,,,,,
9883063,BD1043,,,Boleira Daisy - Baunilha,/boleira-daisy-baunilha,"0,000",0.00,0.00,0.00,,,,"Boleira Daisy - Baunilha",,95059000,,72.90,,,,,0,,,,,,,0,,,,,,
 9883063,BD1043,28733126,BD1043,,,,,,,,,,"Boleira Daisy - Baunilha",,,,,,,,,0,,,,,7898701615370,,0,,,,,,
9814477,,,,Boleira Desmontável G 28x22cm – Sustentável e Reutilizável,/boleira-desmontavel-g-28x22cm-sustentavel-e-reutilizavel,"0,190",6.00,22.00,28.00,,,,"<p>A <strong>Boleira Desmontável G 28x22cm</strong> foi desenvolvida para quem precisa de mais espaço e robustez na apresentação de bolos grandes. Seu design desmontável facilita o transporte e o armazenamento, sem abrir mão da estabilidade.</p>
<p>Produzida em <strong>papelão paraná reciclado</strong>, é uma escolha sustentável e funcional para confeiteiros profissionais e eventos especiais.</p>
<h3>Benefícios</h3>
<ul>
<li>
<p>Ideal para bolos grandes</p>
</li>
<li>
<p><strong>Estrutura reforçada</strong></p>
</li>
<li>
<p><strong>Reutilizável e fácil de limpar</strong></p>
</li>
<li>
<p><strong>Desmontável</strong>, prática para armazenar</p>
</li>
<li>
<p>Opção <strong>ecológica e moderna</strong></p>
</li>
</ul>
<h3>Especificações</h3>
<ul>
<li>
<p><strong>Tamanho:</strong> 28 x 22 cm (Grande)</p>
</li>
<li>
<p><strong>Material:</strong> Papelão paraná 100% reciclado</p>
</li>
<li>
<p><strong>Acabamento:</strong> Película protetora</p>
</li>
<li>
<p><strong>Formato:</strong> Desmontável</p>
</li>
<li>
<p><strong>Conteúdo:</strong> 1 unidade</p>
</li>
</ul>
<h3>Variação</h3>
<ul>
<li>
<p>Cor</p></li></ul>","Boleira desmontável grande, ideal para bolos maiores. Resistente, reutilizável e ecológica.",,"media://products/1-9.png,media://products/2-10.png,media://products/3-10.png,media://products/4-9.png,media://products/5-10.png,media://products/6-11.png,media://products/7-11.png,media://products/8-9.png,media://products/9-4.png,media://products/10-4.png",31.90,,,,,1,,Artigos de Festa,Boleiras,,,,10,,,,,,
