product_id,product_external_id,variation_id,variation_external_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,description,short_description,ncm,images,price,price_compare,model,gender,age_group,active,brand,category_1,category_2,category_3,gtin,mpn,stock,color,first_attribute_group,first_attribute_value,second_attribute_group,second_attribute_value,sku
9883288,V157,,,Vela Espiral Big - Neon,/vela-big-espiral-neon,"0,000",0.00,0.00,0.00,Vela Espiral Big - Neon | Decoração para Festa,Vela Espiral Big - Neon para bolo. Visual espiral marcante e elegante. Perfeita para destacar a decoração do bolo.,,"<p><strong>✨ Descrição completa — Vela Espiral Big - Neon</strong></p><p>A <strong>Vela Espiral Big - Neon</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com visual clássico e acabamento caprichado, valoriza a decoração da mesa e fica linda nas fotos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários infantis e adultos</li><li>Festas temáticas</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Fácil de usar</li><li>Ótimo destaque no bolo</li><li>Valoriza a decoração da mesa</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Tipo: vela decorativa para bolo</li><li>Conteúdo da embalagem: 1 vela</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com outros artigos de festa do mesmo tema para montar uma decoração completa e harmoniosa.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Espiral Big - Neon</strong> e deixe sua comemoração ainda mais especial!</p>",Vela Espiral Big para bolo com visual marcante. Vela Espiral Big - Neon. Ideal para aniversários e festas temáticas.,95059000,,16.90,,,,,0,,,,,,,0,,,,,,
9864158,,,,Vela Espiral - Branca,/vela-espiral-branca,"0,080",2.00,4.00,10.00,Vela Espiral Branca | Decoração Clássica,"Vela espiral branca para bolo. Ideal para festas, aniversários e decorações elegantes.",,"<p>A <strong>Vela Espiral Branca</strong> é uma opção clássica e elegante para a decoração de bolos.</p>
<p>Com formato espiral e cor branca, proporciona um visual delicado e atemporal, combinando com qualquer tema de festa.</p>
<p>Ideal para aniversários, comemorações especiais e eventos que pedem uma decoração clean.</p><h3>Características</h3><ul><li>Formato espiral decorativo</li><li>Cor branca</li><li>Visual clássico e clean</li><li>Ideal para bolos de aniversário</li></ul><h3>Especificações</h3><ul><li><strong>Material:</strong> Parafina</li><li><strong>Tipo:</strong> Vela decorativa espiral</li><li><strong>Cor:</strong> Branca</li><li><strong>Conteúdo da embalagem:</strong> 4 velas</li></ul>","Vela espiral branca para bolo. Clássica, elegante e ideal para qualquer comemoração.",,media://products/5-36.png,18.90,,,,,1,,Artigos de Festa,Velas,Velas Decorativas,,,10,,,,,,
9883375,V224,,,Vela Espiral - Candy Colors,/vela-espiral-candy-colors,"0,000",0.00,0.00,0.00,Vela Espiral - Candy Colors | Decoração para Festa,Vela Espiral - Candy Colors para bolo. Visual clássico e elegante. Ideal para aniversários e comemorações.,,"<p><strong>✨ Descrição completa — Vela Espiral - Candy Colors</strong></p><p>A <strong>Vela Espiral - Candy Colors</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com visual clássico e acabamento caprichado, valoriza a decoração da mesa e fica linda nas fotos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários infantis e adultos</li><li>Festas temáticas</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Fácil de usar</li><li>Ótimo destaque no bolo</li><li>Valoriza a decoração da mesa</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Tipo: vela decorativa para bolo</li><li>Conteúdo da embalagem: 1 vela</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com outros artigos de festa do mesmo tema para montar uma decoração completa e harmoniosa.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Espiral - Candy Colors</strong> e deixe sua comemoração ainda mais especial!</p>",Vela Espiral para bolo com visual clássico. Vela Espiral - Candy Colors. Perfeita para destacar bolos de aniversário.,95059000,,8.90,,,,,0,,,,,,,15,,,,,,
9863864,,,,Vela Espiral - Colorida,/vela-espiral-colorida,"0,100",3.00,5.00,9.00,Vela Espiral Colorida | Decoração de Festa,"Vela espiral colorida para bolo. Clássica e decorativa, ideal para aniversários e festas.","vela espiral, vela colorida, vela para bolo, vela aniversário, decoração de festa","<p>A <strong>Vela Espiral Colorida</strong> é um clássico da decoração de bolos, trazendo cor e movimento para aniversários e comemorações.</p>
<p>Com formato espiral e cores sortidas, é perfeita para festas infantis e celebrações em geral, combinando facilmente com diversos temas.</p>
<p>Prática e decorativa, valoriza o bolo de forma simples e alegre.</p><h3>Características</h3><ul><li>Formato espiral decorativo</li><li>Cores sortidas</li><li>Ideal para bolos de aniversário</li><li>Visual alegre e clássico</li></ul><h3>Especificações</h3><ul><li><strong>Material:</strong> Parafina</li><li><strong>Tipo:</strong> Vela decorativa espiral</li><li><strong>Altura:</strong> 8 cm</li><li><strong>Conteúdo da embalagem:</strong> 10 velas</li></ul>",Vela espiral colorida para bolo. Ideal para aniversários e comemorações.,,media://products/11-23.png,11.90,,,,,1,,Artigos de Festa,Velas,Velas Decorativas,,,10,,,,,,
9883284,V060,,,Vela Espiral - Dourada,/vela-espiral-dourada,"0,000",0.00,0.00,0.00,Vela Espiral - Dourada | Decoração para Festa,Vela Espiral - Dourada para bolo. Visual clássico e elegante. Ideal para aniversários e comemorações.,,"<p><strong>✨ Descrição completa — Vela Espiral - Dourada</strong></p><p>A <strong>Vela Espiral - Dourada</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com visual clássico e acabamento caprichado, valoriza a decoração da mesa e fica linda nas fotos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários infantis e adultos</li><li>Festas temáticas</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Fácil de usar</li><li>Ótimo destaque no bolo</li><li>Valoriza a decoração da mesa</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Tipo: vela decorativa para bolo</li><li>Conteúdo da embalagem: 1 vela</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com outros artigos de festa do mesmo tema para montar uma decoração completa e harmoniosa.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Espiral - Dourada</strong> e deixe sua comemoração ainda mais especial!</p>",Vela Espiral para bolo com visual clássico. Vela Espiral - Dourada. Perfeita para destacar bolos de aniversário.,95059000,,2.92,,,,,0,,,,,,,6,,,,,,
9883377,V216,,,Vela Espiral Metalizada - Rosa Bebê,/vela-espiral-metalizada-rosa-bebe,"0,000",0.00,0.00,0.00,Vela Espiral Metalizada - Rosa Bebê | Decoração para Festa,Vela Espiral Metalizada - Rosa Bebê para bolo. Visual metalizado elegante e sofisticado. Perfeita para destacar a decoração do bolo.,,"<p><strong>✨ Descrição completa — Vela Espiral Metalizada - Rosa Bebê</strong></p><p>A <strong>Vela Espiral Metalizada - Rosa Bebê</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com visual clássico e acabamento caprichado, valoriza a decoração da mesa e fica linda nas fotos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários infantis e adultos</li><li>Festas temáticas</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Fácil de usar</li><li>Ótimo destaque no bolo</li><li>Valoriza a decoração da mesa</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Tipo: vela decorativa para bolo</li><li>Conteúdo da embalagem: 1 vela</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com outros artigos de festa do mesmo tema para montar uma decoração completa e harmoniosa.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Espiral Metalizada - Rosa Bebê</strong> e deixe sua comemoração ainda mais especial!</p>",Vela Espiral Metalizada para bolo com visual elegante. Vela Espiral Metalizada - Rosa Bebê. Ideal para aniversários e festas temáticas.,95059000,,3.82,,,,,0,,,,,,,9,,,,,,
9883376,V218,,,Vela Espiral Metalizada - Tiffany,/vela-espiral-metalizada-tifani,"0,000",0.00,0.00,0.00,Vela Espiral Metalizada - Tiffany | Decoração para Festa,Vela Espiral Metalizada - Tiffany para bolo. Visual metalizado elegante e sofisticado. Perfeita para destacar a decoração do bolo.,,"<p><strong>✨ Descrição completa — Vela Espiral Metalizada - Tiffany</strong></p><p>A <strong>Vela Espiral Metalizada - Tiffany</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com visual clássico e acabamento caprichado, valoriza a decoração da mesa e fica linda nas fotos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários infantis e adultos</li><li>Festas temáticas</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Fácil de usar</li><li>Ótimo destaque no bolo</li><li>Valoriza a decoração da mesa</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Tipo: vela decorativa para bolo</li><li>Conteúdo da embalagem: 1 vela</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com outros artigos de festa do mesmo tema para montar uma decoração completa e harmoniosa.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Espiral Metalizada - Tiffany</strong> e deixe sua comemoração ainda mais especial!</p>",Vela Espiral Metalizada para bolo com visual elegante. Vela Espiral Metalizada - Tiffany. Ideal para aniversários e festas temáticas.,95059000,,3.82,,,,,0,,,,,,,13,,,,,,
9883281,V025,,,Vela Espiral - Neon,/vela-espiral-neon,"0,000",0.00,0.00,0.00,Vela Espiral - Neon | Decoração para Festa,Vela Espiral - Neon para bolo. Visual clássico e elegante. Ideal para aniversários e comemorações.,,"<p><strong>✨ Descrição completa — Vela Espiral - Neon</strong></p><p>A <strong>Vela Espiral - Neon</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com visual clássico e acabamento caprichado, valoriza a decoração da mesa e fica linda nas fotos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários infantis e adultos</li><li>Festas temáticas</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Fácil de usar</li><li>Ótimo destaque no bolo</li><li>Valoriza a decoração da mesa</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Tipo: vela decorativa para bolo</li><li>Conteúdo da embalagem: 1 vela</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com outros artigos de festa do mesmo tema para montar uma decoração completa e harmoniosa.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Espiral - Neon</strong> e deixe sua comemoração ainda mais especial!</p>",Vela Espiral para bolo com visual clássico. Vela Espiral - Neon. Perfeita para destacar bolos de aniversário.,95059000,,9.90,,,,,0,,,,,,,0,,,,,,
9883285,V061,,,Vela Espiral - Prateada,/vela-espiral-prateada,"0,000",0.00,0.00,0.00,Vela Espiral - Prateada | Decoração para Festa,Vela Espiral - Prateada para bolo. Visual clássico e elegante. Ideal para aniversários e comemorações.,,"<p><strong>✨ Descrição completa — Vela Espiral - Prateada</strong></p><p>A <strong>Vela Espiral - Prateada</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com visual clássico e acabamento caprichado, valoriza a decoração da mesa e fica linda nas fotos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários infantis e adultos</li><li>Festas temáticas</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Fácil de usar</li><li>Ótimo destaque no bolo</li><li>Valoriza a decoração da mesa</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Tipo: vela decorativa para bolo</li><li>Conteúdo da embalagem: 1 vela</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com outros artigos de festa do mesmo tema para montar uma decoração completa e harmoniosa.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Espiral - Prateada</strong> e deixe sua comemoração ainda mais especial!</p>",Vela Espiral para bolo com visual clássico. Vela Espiral - Prateada. Perfeita para destacar bolos de aniversário.,95059000,,7.90,,,,,0,,,,,,,0,,,,,,
9883378,V180,,,Vela Espiral - Rosa metalizada,/vela-espiral-rosa-metalizada-17-cm,"0,000",0.00,0.00,0.00,Vela Espiral - Rosa metalizada | Decoração para Festa,Vela Espiral - Rosa metalizada para bolo. Visual clássico e elegante. Ideal para aniversários e comemorações.,,"<p><strong>✨ Descrição completa — Vela Espiral - Rosa metalizada</strong></p><p>A <strong>Vela Espiral - Rosa metalizada</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com visual clássico e acabamento caprichado, valoriza a decoração da mesa e fica linda nas fotos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários infantis e adultos</li><li>Festas temáticas</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Fácil de usar</li><li>Ótimo destaque no bolo</li><li>Valoriza a decoração da mesa</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Tipo: vela decorativa para bolo</li><li>Conteúdo da embalagem: 1 vela</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com outros artigos de festa do mesmo tema para montar uma decoração completa e harmoniosa.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Espiral - Rosa metalizada</strong> e deixe sua comemoração ainda mais especial!</p>",Vela Espiral para bolo com visual clássico. Vela Espiral - Rosa metalizada. Perfeita para destacar bolos de aniversário.,95059000,,7.49,,,,,0,,,,,,,8,,,,,,
