product_id,product_external_id,variation_id,variation_external_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,description,short_description,ncm,images,price,price_compare,model,gender,age_group,active,brand,category_1,category_2,category_3,gtin,mpn,stock,color,first_attribute_group,first_attribute_value,second_attribute_group,second_attribute_value,sku
9864164,,,,Vela Metalizada Torcida - Branca - 15 cm,/vela-metalizada-torcida-branca-15cm,"0,100",3.00,5.00,17.00,Vela Metalizada Torcida Branca 15 cm | Decoração de Festa,Vela metalizada torcida branca 15 cm para bolo. Ideal para festas elegantes e decorações clássicas.,,"<p>A <strong>Vela Metalizada Torcida Branca 15 cm</strong> é ideal para quem busca uma decoração elegante e diferenciada para bolos.</p>
<p>Com formato torcido e acabamento <strong>metalizado</strong> na cor branca, proporciona um visual sofisticado que valoriza aniversários, festas clássicas e comemorações especiais.</p>
<p>Seu design moderno combina perfeitamente com decorações clean e minimalistas.</p><h3>Características</h3><ul><li>Formato torcido decorativo</li><li>Acabamento metalizado branco</li><li>Visual elegante e moderno</li><li>Ideal para bolos de aniversário</li></ul><h3>Especificações</h3><ul><li><strong>Material:</strong> Parafina</li><li><strong>Tipo:</strong> Vela decorativa torcida</li><li><strong>Altura:</strong> 15 cm</li><li><strong>Cor:</strong> Branca</li><li><strong>Conteúdo da embalagem:</strong> 4 velas</li></ul>",Vela metalizada torcida branca 15 cm para bolo. Sofisticação e elegância na decoração.,,media://products/3-36.png,,,,,,1,,,,,,,0,,,,,,
9883299,V184,,,Vela Metalizada Torcida - Dourada - 15 CM,/vela-metalizada-torcida-dourada-15-cm,"0,000",0.00,0.00,0.00,,,,VELA METALIZADA TORCIDA DOURADA 15 CM,,95059000,,19.90,,,,,0,,,,,,,7,,,,,,
9883297,V182,,,Vela Metalizada Torcida - Prata - 15 CM,/vela-metalizada-torcida-prata-15-cm,"0,000",0.00,0.00,0.00,,,,VELA METALIZADA TORCIDA PRATA 15 CM,,95059000,,19.90,,,,,0,,,,,,,3,,,,,,
9883298,V183,,,Vela Metalizada Torcida - Rose Gold - 15 CM,/vela-metalizada-torcida-rose-gold-15-cm,"0,000",0.00,0.00,0.00,,,,VELA METALIZADA TORCIDA ROSE GOLD 15 CM,,95059000,,19.90,,,,,0,,,,,,,0,,,,,,
9883289,V169LA,,,Vela Palitinho Lisa - Azul,/vela-palitinho-lisa-azul,"0,000",0.00,0.00,0.00,,,,VELA PALITINHO LISA AZUL,,95059000,,6.90,,,,,0,,,,,,,0,,,,,,
9883290,V169LB,,,Vela Palitinho Lisa - Branca,/vela-palitinho-lisa-branca,"0,000",0.00,0.00,0.00,,,,VELA PALITINHO LISA BRANCA,,95059000,,6.90,,,,,0,,,,,,,0,,,,,,
9883291,V169LR,,,Vela Palitinho Lisa - Rosa,/vela-palitinho-lisa-rosa,"0,000",0.00,0.00,0.00,,,,VELA PALITINHO LISA ROSA,,95059000,,6.90,,,,,0,,,,,,,0,,,,,,
9864154,,,,Vela Tubo - Branca,/vela-tubo-branca,"0,080",2.00,4.00,10.00,Vela Tubo Branca | Decoração Moderna,"Vela tubo branca para bolo. Ideal para decorações modernas, elegantes e minimalistas.",,"<p>A <strong>Vela Tubo Branca</strong> é uma opção moderna e diferenciada para a decoração de bolos.</p>
<p>Com formato tubular e acabamento branco, traz um visual limpo e elegante, ideal para festas clássicas, minimalistas ou comemorações sofisticadas.</p>
<p>Seu design simples valoriza o bolo sem sobrecarregar a decoração.</p><h3>Características</h3><ul><li>Formato tubular moderno</li><li>Cor branca</li><li>Visual clean e elegante</li><li>Ideal para bolos de aniversário</li></ul><h3>Especificações</h3><ul><li><strong>Material:</strong> Parafina</li><li><strong>Tipo:</strong> Vela decorativa tubular</li><li><strong>Cor:</strong> Branca</li><li><strong>Conteúdo da embalagem:</strong> 4 velas</li></ul>",Vela tubo branca para bolo. Design moderno e elegante para a decoração.,,media://products/2-36.png,19.90,,,,,1,,Artigos de Festa,Velas,Velas Decorativas,,,10,,,,,,
9883303,V215,,,Vela Tubo - Candy Color,/vela-tubo-candy-color,"0,000",0.00,0.00,0.00,,,,VELA TUBO CANDY COLOR,,95059000,,15.90,,,,,0,,,,,,,1,,,,,,
9883282,V027,,,Vela Tubo - Neon,/vela-tubo-neon,"0,000",0.00,0.00,0.00,,,,VELA TUBO NEON,,95059000,,9.90,,,,,0,,,,,,,0,,,,,,
